name,mean,std,amin,amax
Bankera,36354426.82198953,1071620.9646894364,33255050,37517702
Basic Attention Token,272935520.51578945,6609656.750069354,261064479,287208270
Basid Coin,237508888.18324608,1967868.8721951956,232335191,240583101
Beam,16831504.759162303,522758.1368008722,15856972,17679150
Beldex,84097001.17277487,1296762.0177936817,81701290,87642241
Bella Protocol,10958902.885416666,436696.78378127277,10206829,11528973
Beowulf,13687529.010471204,2081440.4842892918,9722005,15893028
BigONE Token,20195833.497382198,235945.8892653316,19794933,20585368
Binance Coin,3991094928.5,135204720.37096554,3740063382,4227709521
Binance USD,701048394.6473684,6187413.1408871375,686063147,709636760
Bit-Z Token,13553092.067708334,294590.7998027582,12975433,14014451
BitKan,13321268.895833334,275439.6810758064,12931175,14270936
BitMax Token,27121340.738219894,658276.5851739425,26288069,28388264
BitShares,47905042.265625,2775975.5056506456,42744454,51655728
BitTorrent,283546274.8684211,9058329.963786311,269715233,299988357
Bitball Treasure,150476408.56020942,6146495.21980926,113376023,154599737
Bitbook Gambling,58115715.39790576,3593032.4606943224,49536167,62285759
Bitcoin,251670336645.74738,2420162693.567928,246322033183,256541460782
Bitcoin BEP2,65203765.708333336,2342622.723015214,61901554,71203311
Bitcoin Cash,4688371830.868421,198730828.99368125,4419035193,5019954491
Bitcoin Diamond,82984198.90526316,3605357.064116517,73492399,87560958
Bitcoin Gold,122970241.07368422,2063695.726919285,119570734,127700305
Bitcoin SV,2918038754.6368423,101726575.86491483,2729132168,3090526517
BitcoinHD,13338942.578125,1081675.0717200378,12133614,15307986
BitcoinPoS,515311767.04188484,13898623.17912745,461259391,543218271
Blocknet,9820150.114285715,440964.3151369758,9190207,10600168
Blockstack,98473528.04736842,3451420.9894940774,92484885,104672813
Bloomzed Loyalty Club Ticket,19601350.2513089,1050884.2450557104,18694355,21355040
Bluzelle,14082105.051813472,650494.7913733773,13067365,14996000
Bonorum,22407202.2460733,432802.6758082077,21724669,23263209
Bounce Token,9683461.41509434,296257.8747040676,9128448,10271165
Breezecoin,41038604.64397906,757169.5359544131,39613171,42440176
Bridge Oracle,31742013.727748692,1339043.3340668252,26279334,34736813
Buggyra Coin Zero,20961080.87434555,314815.9367653364,20483937,21540188
Bytecoin,25589457.518324606,1003468.4120256652,23540098,28065032
Bytom,76311333.84656085,3390283.1964782663,70904734,82727308
CONTRACOIN,23320728.901041668,160935.23229178932,22879133,23573550
CONUN,20086700.340314135,423429.8666914517,19252140,21218078
COTI,16502456.17277487,827276.4525572313,14961188,18022621
CRYPTO20,25684174.790575918,586557.9960765898,24739478,27683239
CRYPTOBUCKS,16908718.585858587,861477.4218426578,12061457,17114532
CWV Chain,9291225.397058824,107173.87594279263,9070842,9458468
CanYaCoin,50194504.666666664,1454482.2146312036,48555244,52631706
Cardano,2911452282.468421,95158630.39957558,2752186957,3106660833
Carry,9599062.5,244754.68770076724,9423194,10027692
CasinoCoin,12206181.557291666,1020722.4601937291,10700408,15854105
Celer Network,14692512.263157895,680266.6371246459,13552189,15867303
Celo,196162044.87894738,4040563.9217968956,189822513,205886818
Celo Dollar,15457949.2,57697.41849699721,15379210,15523346
Celsius,332252111.4526316,3145466.8845450007,324787915,340396147
Centrality,57629424.544502616,1175538.0914463098,54623745,60875579
CertiK,17241340.188481674,982234.1054712714,15283124,19076020
ChainX,17924900.062827226,226801.7097603223,17356752,18415723
Chainlink,4219822670.989474,184728975.5084368,3971901111,4539555114
Chiliz,46397087.765625,719796.9767624298,43959025,47546971
Chimpion,23688904.062176164,1634576.826520482,19727845,28248661
Chromia,9890713.191860465,509096.1833570194,9108320,10701419
Cindicator,15939766.806282723,732595.613712215,14694616,17547325
Cipher Core Token,260967031.40314135,3599794.4991674987,244211110,264576603
Civic,16625167.607329844,457238.6383447362,15907531,17514322
Cocos-BCX,10469552.963541666,137234.09174991123,10021179,10697059
CoinMetro Token,10810104.447916666,567053.8565491663,9910162,11934083
Compound,364991992.5631579,18123338.237992212,332117186,397246415
Constellation,12946358.145833334,218966.28705004338,12573540,13486787
Content Value Network,13109983.03125,966470.0850829267,11254923,15091600
Contentos,12553119.96875,499265.3813138852,11750401,13985367
Cortex,19001784.82198953,533075.5286010851,18220243,20538241
Cosmos,941012325.9105263,31103148.52089359,890913910,998039492
Counos Coin,72028331.14136125,13683.037059973462,71992529,72071725
Counos X,1042225370.9581152,10266407.053405616,1028860662,1052010155
Covesting,9595252.921052631,116316.16738353182,9263178,9804218
Creditcoin,269881927.68586385,5631969.228944226,259136035,284858785
