name,mean,std,amin,amax
Wrapped NXM,35368257.807291664,2935796.5196944578,31140335.0,40216613.0
XMax,5181870.933333334,133053.43836448417,4725879.0,5581637.0
XRP,10713895795.932291,146357091.0132437,10377943635.0,11020074721.0
Xplosive Ethereum,5258981.895833333,208083.30549367084,4808061.0,6319847.0
YAM,7400542.166666667,269485.93342674297,6950341.0,8078653.0
YF Link,18110866.015625,479119.55948370585,17385537.0,20066814.0
YFValue,4823312.65,138447.0497533165,4626195.0,5166969.0
Yuan Chain Coin,23291491.828125,528720.4539739739,22179199.0,24323442.0
ZB Token,39875146.885416664,984424.2781213323,34217093.0,40838396.0
ZBG Token,25524180.552083332,330993.91771509504,24888237.0,26190192.0
Zano,5838558.234375,53750.45052115851,5729956.0,5982825.0
Zap,11775288.692708334,520593.80267358414,11093944.0,14007223.0
Zcash,569045111.0625,21682965.71536645,537381327.0,611859044.0
Zcoin,33182936.234375,1688682.7122309483,30987561.0,37056614.0
Zenon,15248494.979166666,409150.7566012072,14609490.0,16603638.0
Zilliqa,196667690.24479166,4226604.895516596,189292663.0,204625220.0
apM Coin,20655072.19371728,1420253.4992403851,18136162.0,24276824.0
bZx Protocol,15140215.921875,673107.7898768135,13977274.0,16406949.0
bitCNY,6214755.583333333,45043.1917721117,6150480.0,6447430.0
c0x,47241838.5625,1341201.7875203306,45395306.0,49975830.0
cBAT,8197867.380208333,178485.4344766262,7873103.0,8558222.0
cDAI,1386072181.375,11230259.343047801,1368578844.0,1405433886.0
cETH,418339161.125,15150018.070761012,400869498.0,452951546.0
cUNI,37881363.828125,1848425.988887392,35037544.0,41495900.0
cUSDC,235579316.34895834,11312308.557184948,223201364.0,263647465.0
cUSDT,35439236.15625,1371319.5579101448,34298707.0,39190584.0
cVault.finance,33850628.1875,1384870.8089943286,31239144.0,37134348.0
dForce Token,9500884.552083334,489048.7633802751,8908670.0,10338477.0
district0x,6939872.145833333,326555.9568499365,6371827.0,7923690.0
elf,37269722.307291664,1324164.553822115,35127056.0,39237630.0
iETH,5951823.755208333,175469.78209217062,5669837.0,6288783.0
iExec RLC,51546501.494791664,1655540.5147201922,48878224.0,54740870.0
mStable USD,38226900.421875,144183.58278575068,37801600.0,38524524.0
pNetwork,11120475.885416666,492059.5350683633,9704445.0,11673875.0
renBTC,294255796.71875,4268396.633882675,282458114.0,301367956.0
sBTC,28383462.979166668,526663.7727093163,27446735.0,29490749.0
sETH,9305011.182291666,189988.8865827585,8694252.0,9681183.0
sUSD,54056556.020833336,1066216.026571902,51509704.0,56259116.0
tBTC,13559019.229166666,268948.258383324,13018267.0,14827540.0
xDAI Stake,29090381.661458332,1468443.3997178848,27071311.0,32281260.0
yAxis,5607017.045454546,261053.41731192856,4954667.0,6095892.0
yUSD,73265790.27604167,1169039.4335550936,70830436.0,75928284.0
yearn.finance,304780901.5104167,15822315.852616575,282505844.0,332848352.0
