name,mean,std,amin,amax
MonaCoin,1255807.9052631578,224831.84125147993,805435,1587291
Monero,1318206704.7842104,379342750.242153,661537127,2019904122
Monolith,4971.77108433735,2792.871847091384,506,7838
Morpheus.Network,581124.9427083334,35152.86888207962,513733,628660
MovieBloc,945015.0677083334,96184.72064779761,752175,1111932
NEAR Protocol,11656537.847368421,5635853.113957141,1133380,20675667
NEM,19437345.815789472,2030153.1700707837,16858790,23842488
NEST Protocol,28073297.706806283,2552067.53585858,19858717,35758668
NKN,978562.78125,161384.41540861106,405180,1362549
NOIA Network,116754.3664921466,29604.216558345153,62324,175641
NULS,5997970.623036649,365658.9803314073,5219057,6465093
NXM,13926535.589473683,2482914.1303286664,10129085,17621747
Nano,4344766.047368421,631350.3379592015,2711210,5377933
Nash Exchange,42872.71204188481,9263.497521018011,29420,59391
Native Utility Token,909.8631578947368,454.37996850470284,135,1874
Nebulas,1157854.383419689,198561.20938324707,395981,1473364
Nectar,1922.0994764397906,1366.075803379399,127,3737
Neo,469492186.42105263,81021752.84421682,310027256,584412191
NerveNetwork,201528.79581151833,19139.288080451464,167744,236089
Nervos Network,7151354.542105263,1568347.5175519353,4558614,9896964
Neutrino USD,2150695.1832460733,72627.86305662215,2030249,2338505
New Year Bull,7.776595744680851,0.41876046786207405,7,8
NewYork Exchange,268341.56020942406,56963.884956913804,3,533380
Newscrypto,575443.7172774869,35969.40282669584,528290,641188
Nexalt,469506.4166666667,70802.20231144,345036,576179
Nexo,10200125.45263158,1196134.592877691,7824305,11883617
Nexus,61532.984375,16433.50221823768,30045,92587
Nexxo,193472.86910994764,8907.011810846938,177679,217396
Nimiq,967840.8272251309,96986.0503417426,488274,1129241
Numeraire,6146517.115789474,1177902.7242691412,4056814,10129762
Nxt,513192.0,,513192,513192
OKB,39401282.421052635,2702656.426320718,34600653,44020697
OMG Network,108626698.21052632,8751012.964189049,96882860,129453823
ONOToken,36.92631578947368,9.484861516349227,8,51
Obyte,11124.445026178011,1498.8371162035392,7958,14574
Ocean Protocol,32581150.5,5486938.495755729,24734155,41579521
Ontology,107844867.31052631,9553011.753181402,89903574,124257354
Orbit Chain,349298.24242424243,114429.07546145638,181100,451799
Orbs,123630.20833333333,22844.389282133307,53499,153220
Orchid,3975576.3947368423,513158.0936065113,2883496,4694883
Origin Protocol,7382461.968586387,1069157.2433046065,5721899,9107094
OriginTrail,126206.82291666667,25153.524287535925,61021,166004
Orion Protocol,2482128.670157068,310814.35301551607,1370928,3125321
PARSIQ,333782.5445026178,135731.7538713259,185963,577197
PAX Gold,2612519.2708333335,261748.90155753368,1967577,3002365
PIVX,181771.20418848167,64737.71737041528,67673,284825
PLATINCOIN,585865.2395833334,8164.797108753888,568670,601506
PRIZM,324003.6492146597,80327.50542384853,49163,444769
PancakeSwap,2759722.0520833335,1611069.554788568,972715,6367624
Paxos Standard,253958684.46842104,69483773.62036885,130107943,384451275
PeepCoin,0.0,0.0,0,0
Perpetual Protocol,413250.35751295334,58539.57689266774,297788,515456
Phala.Network,4029949.7239583335,766943.5508055539,2358911,5704305
Pirate Chain,866922.8095238095,456901.1772809449,71336,1832277
PlatonCoin,426371.0,,426371,426371
PlayChip,698.0,367.0265657959925,495,1571
PlayFuel,802811.8219895288,282868.75200406375,484565,1622506
Polkadot,436785870.9368421,88447398.9586034,298128590,580854289
Polymath,2683225.4397905758,126302.0003681039,2479222,2921856
Populous,1720877.8072916667,363765.2682093399,1211915,2150924
Poseidon Network,128696.59162303664,20822.21297659971,50167,154654
Power Ledger,723643.6041666666,30684.70594517672,648702,782465
Precium,662158.0,154574.83767094824,489283,787054
Project Pai,267610.0677083333,84979.15135580291,144745,402245
Prometeus,179350.47916666666,53643.35180279388,116022,281571
Props Token,23272.701492537315,2012.5197685076555,19846,27297
Proton,701461.5,154481.62217538105,444673,1126829
ProximaX,224089.82352941178,2247.091257476991,220177,229677
Pundi X,808147.71875,86566.08493726366,637018,980501
QASH,144665.109375,38638.75306248347,77000,201499
Qcash,392134472.7801047,102313328.99882604,211866407,547125087
Qtum,321344059.3684211,30091592.76087249,272205399,366451700
Quant,4452570.115789474,1324679.5060553055,3013406,7815720
Quantstamp,95353.14659685864,13167.519387511898,73443,124833
Quantum Resistant Ledger,171918.375,4195.48787588126,163186,178067
Quark,1493.1927083333333,108.16614788670023,1290,1769
QuarkChain,1118252.9375,148712.0432032387,913732,1519827
QuickX Protocol,409257.4025974026,17994.137600722108,350402,439521
RChain,221777.47916666666,24883.896771688833,173950,256270
REPO,562.130890052356,282.73463221068073,162,1102
RSK Infrastructure Framework,437484.5625,9785.659402601203,414586,458781
Rakon,2076543.703125,804669.983496744,736796,4510817
Ravencoin,5350141.0,1633208.153984601,3121942,10222388
ReddCoin,30360.104712041884,4165.118009262519,21526,39937
Ren,38896031.00526316,2567499.9127965816,33731475,44381080
Request,133107.72251308901,17382.584574388053,104056,170648
Reserve Rights,135903662.94210526,22456326.546329554,99416668,167031675
Revain,454361.6052631579,8830.298726242556,435971,476102
Ripio Credit Network,339984.4502617801,146112.50692346419,102923,551089
Rocket Pool,829952.0366492147,16599.88207230507,787233,866208
S4FE,877687.9162303664,431652.8411248573,8171,1222782
SOLVE,214803.86458333334,59771.882080782336,55188,315209
STASIS EURO,2052297.8020833333,434523.14332567534,1222173,2511982
STEM CELL COIN,104280.27894736842,63615.37061336884,1361,227823
STPAY,17031.01047120419,62881.10545541186,0,304494
SUKU,118328.5392670157,55210.164222553685,0,144002
SUN,51785811.197916664,22195361.648227032,14468563,95865484
SaluS,305.3455497382199,215.40724214132874,14,718
Sapphire,89034.80952380953,43956.33583961715,23517,147259
Secret,420466.48421052634,794249.9372408788,49114,2840951
Seele-N,85406.16315789474,28616.569235760773,40156,145929
Sentivate,310254.8697916667,87186.76012370097,51624,465115
Serum,33517975.322916668,3240179.0020454614,28270819,38150506
ShareToken,4257561.421875,420258.9710630308,1348135,4678049
Siacoin,1938545.8842105262,290680.1818201074,1277017,2542843
SingularityNET,253850.359375,41802.876824661435,168753,315205
Solana,6415274.484375,400138.59001168044,5522427,7371843
Sologenic,127035.12041884816,49611.57984118279,28944,305627
Sora,1214326.287958115,292704.6972530251,98849,1762281
Spectre.ai Dividend Token,0.0,0.0,0,0
Sport and Leisure,267234.277486911,58508.46637927009,33,536640
Stakenet,631195.1354166666,268644.0554559202,6,881830
Standard Tokenization Protocol,1240098.2083333333,170996.21668463596,851489,1506400
Status,5265701.348958333,610800.6173880146,4292000,6269587
Steem,1455825.6354166667,134351.15550329498,1246700,1734322
Stellar,126547451.45789474,5209322.124917136,111972632,135374779
Storj,10923200.416666666,825862.2817860359,9393006,12476233
StormX,420438.3678756477,158841.4451058574,170098,711974
Stratis,2260856.46875,1405664.835986883,674312,3891155
Streamr,979032.9739583334,415191.95493468613,497370,2153235
Strong,196582.6282722513,53083.743885963435,130094,287791
Super Zero Protocol,3298545.3802083335,455782.4486803016,2594957,4237551
SushiSwap,25202351.536842104,6228185.554072136,13450420,34283332
Swipe,55961935.708333336,8939784.86230381,30804374,69661836
SwissBorg,247022.046875,90700.4958976318,104246,525312
Switcheo,337501.90625,11534.897142385173,312064,363172
SynchroBitcoin,359055.1947368421,372908.3499453901,3748,1039999
Synthetix Network Token,32887495.17368421,6388932.703445673,23396800,41102708
Syscoin,393218.65625,104611.17037867618,118554,601855
THETA,22371354.831578948,3991352.362136985,14905547,30734735
THORChain,3011827.09375,494394.4917918447,1093668,3740193
TNC Coin,10812582.345549738,1003163.874608919,8985459,13301279
TRON,876090024.8789474,85055653.70630322,726076956,1003559681
TROY,633105.3717277487,103178.52180158958,469051,855220
Tachyon Protocol,260958.203125,42439.25864800218,182233,332292
Tap,257203.8062827225,39626.66042264663,181809,305228
Telcoin,35233.455882352944,10050.173420102961,22663,51634
Tellor,34132401.369791664,5803237.431839461,24974723,45068880
Terra,3736532.2736842106,1233398.1837381136,1687879,5610978
TerraKRW,73186.96858638743,32580.615786869956,16522,117516
Tether,43385066742.11579,4258292849.6265717,33368121198,49551783703
Tezos,129828668.12105264,12479418.066590114,106375733,149838926
The Midas Touch Gold,5925361.147368421,2878537.9983263607,1333066,12837403
The Sandbox,3418379.7591623035,926625.8277877826,2067910,5275641
The Transfer Token,35057.67015706806,6486.072289801111,17436,60874
Theta Fuel,1456457.578125,421533.61110420217,280910,2386754
ThoreCoin,36843.780104712045,8202.087939172436,18902,60782
ThoreNext,8739.361256544502,2028.67144245647,5514,15642
Thunder Token,3739175.2239583335,592766.556562488,2871986,5082277
TitanSwap,3474218.6387434555,436667.90377491637,2837409,4401766
Tixl,21769.546875,250.5772140471023,21274,22335
TomoChain,4812380.635416667,852396.4673394024,3640738,5967048
Tratin,242.2408376963351,165.27324936324104,0,627
Travala.com,5153702.526041667,2861217.987299392,427262,10254027
TrueChain,5626746.270833333,1499043.2601487192,3528691,8045175
TrueUSD,82447282.66842106,5463146.183582798,71494173,90937783
Trust Wallet Token,1018870.607329843,212415.67132088647,71688,1300748
TrustSwap,1197742.0890052356,155271.39810649175,907543,1424338
UCA Coin,690909.5,229117.92125125614,167047,946591
UMA,11353066.226315789,1770706.0988878876,8253483,14101117
UNI COIN,0.0,0.0,0,0
UNUS SED LEO,10000403.257894738,565893.8730432744,7906263,10834288
USD Coin,401139850.67368424,45874966.54639822,228270057,454401958
USDJ,4823811.239583333,258217.74147750522,4328776,5373764
USDK,49074693.52879581,7888647.268351236,35642960,61749124
Ultiledger,255543.34031413612,39793.69608915723,211450,420854
Ultra,605485.65625,83187.5483572046,480713,716446
Unibright,1315064.6614583333,119610.08276448378,1048625,1495783
Uniswap,247258190.47368422,29980021.306204602,186615795,290675284
Unobtanium,7346.429319371728,3222.0976779566654,2478,13132
Uquid Coin,13363467.723958334,3776446.4368134663,4992000,16711530
Utrust,2024244.0572916667,697605.8851171822,1114749,4628174
VIDT Datalink,1343670.0261780105,61095.28828705416,1230207,1460415
VNX Exchange,138723.92857142858,31334.57586631863,74105,196646
VeChain,94879274.98947369,4357192.153660966,87028570,108048781
VeThor Token,3595330.047120419,574267.6912609411,2265744,4673831
Velas,2222422.2578947367,302855.5033505522,1306173,2961668
Venus,4097670.6560846562,2672772.0713203973,1169489,7353789
Verge,1644465.15625,459060.2153077238,1004733,2466392
Vertcoin,3088643.8333333335,1447708.974184288,889457,5145349
VerusCoin,15699.696335078534,3095.093805556953,10767,21690
VestChain,12731.685863874345,9453.268705961706,0,29224
Vitae,1701764.8586387434,101740.83838177906,1448312,1836927
Voyager Token,293984.0680628272,52879.821462997614,2095,370566
WAX,380295.3958333333,74184.62003239166,224999,485433
WINk,3352140.2916666665,775084.3417432037,2166465,4554053
WOM Protocol,1681129.0366492146,327196.2754036559,1044164,2101268
Waltonchain,1228074.2342342343,260475.2152930886,807890,1644528
Wanchain,790577.34375,111451.43141159166,568849,991536
Waves,32744080.205263156,1868034.9771756937,25384808,35791196
WaykiChain,772812.0520833334,187408.82091743217,457506,1100882
WazirX,6741542.591623036,3690847.9734698995,2786653,11818665
WhiteCoin,28480.596858638743,5917.7863802172515,23035,45430
Wirex Token,830202.6979166666,403019.3536255113,220259,1519779
Wixlar,3190.953125,860.7918994311639,2752,6738
Wrapped BNB,2619700.3036649213,886576.9235693518,310985,4016545
Wrapped Bitcoin,48388162.43684211,3585015.0203930894,38204217,56101990
XRP,2442338651.9157896,359995495.948324,1851350380,3003484429
XeniosCoin,82127.76439790576,9390.143253320688,65986,94315
Xensor,319069.76439790573,73039.13483895567,223165,1148615
XinFin Network,2293008.204188482,778506.5175373369,554442,3487897
YAM v1,10.294642857142858,3.8849174579498653,1,12
YEP COIN,2820.265625,141.98066849323283,2556,3052
YF Link,502900.17277486913,78429.19961352002,288034,622220
YFDAI.FINANCE,2060938.7434554973,491228.7443772125,858503,3237125
YFValue,3667306.3489583335,1506226.3432186234,1304030,6182187
YUSRA,84911.47643979058,2775.227745651078,80462,90505
ZB Token,6237244.168421052,1604415.515379383,793170,7508205
ZBG Token,1306933.0729166667,31971.846209220734,1250722,1409938
Zap,328633.15625,206154.45891145535,1910,567478
Zcash,470972059.07894737,90702883.78557408,336073597,639841993
Zcoin,6313944.15625,1540680.6517072937,3404531,8402489
Zelwin,470065.612565445,156283.98872247615,131058,759813
Zenon,365926.1979166667,20852.61309205422,334278,393101
Zilliqa,16137649.678947369,1524340.895533958,13701849,18837140
Zynecoin,483168.6073298429,11480.571557739187,455324,506420
aelf,6269017.5,222746.0928041327,5867588,6691251
apM Coin,13370185.743455498,15279899.322497273,2001875,55927122
bZx Protocol,6117038.497382199,658645.6391008978,4240885,7326871
botXcoin,103383.57591623037,62378.94001363339,15,230340
cVault.finance,5702090.335078534,721922.9987428111,4400530,9000961
iExec RLC,3215738.59375,282346.9998847298,2869166,4030261
mStable USD,354514.75392670155,77203.04136153388,214502,485320
pNetwork,890434.2941176471,227165.74941047034,15378,1005513
renBTC,11990311.214659685,2819271.0444926545,7104295,17209474
sUSD,4550755.776041667,2039599.5399753868,1779666,9188861
v.systems,1848465.7916666667,535193.78699101,761361,2665711
xDai,4012654.7239583335,654100.3074023554,2503887,4666211
yearn.finance,189871199.21578947,11549793.948623195,167059294,213015595
yieldfarming.insure,19.415730337078653,0.4942377287508381,19,20
