name,mean,std,amin,amax
Curve DAO Token,19845685.161458332,1421877.0101218459,16515413.0,23446007.0
CyberMiles,859810.3802083334,378670.8556478496,446991.0,1677946.0
DAOstack,234562.34065934067,64448.61910040903,106942.0,343812.0
DFI.money,62794972.46875,5612639.1349367555,53029606.0,72926571.0
DIA,7968212.151041667,674377.3596923768,6728262.0,9208416.0
DMM: Governance,1349614.9375,28789.2707306084,1261835.0,1422812.0
DMarket,94863.14567708333,85389.04837747524,9036.0,209106.0
DOS Network,639729.8020833334,55097.7702350252,575221.0,752909.0
DUSK Network,2097148.0260416667,949765.6654744917,958516.0,3662632.0
DXDao,876410.484375,78766.3713830207,447887.0,942106.0
DaTa eXchange Token,16795.32572916666,1925.142219757183,13780.01,20157.0
Dai,91179449.02083333,10254109.40502792,70427627.0,115623507.0
Darico Ecosystem Coin,408.8700000000002,0.0,408.87,408.87
Darwinia Network Native Token,1711966.625,79748.83344276354,1543479.0,1919344.0
Dash,327339700.734375,27039357.647369992,271780102.0,376445246.0
DeFiPulse Index,1017603.9375,204298.38610522667,407338.0,1292805.0
Decentraland,14111641.473958334,1181018.05992773,11681901.0,16378314.0
Decred,5463279.96875,646454.3363418414,3911864.0,6255416.0
DefiDollar,185406.74859375003,417182.8547881102,1152.24,1250030.0
DefiDollar DAO,917401.21875,114000.173992435,667868.0,1003382.0
Dego Finance,479156.59375,87907.4734580726,276834.0,596915.0
Dent,382376.7916666667,60242.468793305576,212530.0,485016.0
Dero,184448.28645833334,34540.91571916641,103496.0,240136.0
DexTools,4417507.552083333,427750.38363094005,3852095.0,5093068.0
Dify.Finance,2509340.7135416665,113518.31010629394,2271147.0,2714250.0
DigiByte,5090948.505208333,707161.6534478953,4127922.0,7680716.0
DigitalNote,67049.05107142858,14686.582782965577,18799.2,87363.0
Digitex Futures Exchange,2262960.296875,238585.69941819593,1918701.0,2745155.0
Digix Gold,12714.218125000007,4178.422455756639,7978.07,22332.0
DigixDAO,82326.82291666667,6334.073936114351,69895.0,93600.0
Divi,298521.2395833333,54054.20339584192,199878.0,363678.0
Dock,1985491.63,123849.25813552679,1754553.0,2212910.0
Dogecoin,56884616.026041664,3517359.87327678,51567309.0,65644171.0
Dragonchain,29041.045520833333,9834.758525447196,13883.66,42403.0
DuckDaoDime,46581.0,,46581.0,46581.0
Dune,249078.99229166665,148685.93546236926,8019.75,380995.0
Dynamic,46783.052083333336,6080.376697427011,30352.0,58732.0
EOS,1543389395.6354167,148970287.79953203,1153561816.0,1839835787.0
EOSDT,16511.580000000013,8184.627175679875,4096.28,32008.0
EUNO,7701.36656250001,3616.25280075802,2147.53,16612.86
EasyFi,9464166.75,220423.61638653104,9179305.0,9714620.0
Edgeware,479969.484375,56805.426782179165,339894.0,605984.0
Effect.AI,3473.3905208333344,1935.3389364891168,314.16,6496.92
Eight Hours,129536.38020833333,38315.684237703186,61662.0,229916.0
Einsteinium,46485.791666666664,14897.737070098034,24818.0,69702.0
